id_factura,id_estudiante,residencia,concepto,importe,fecha_emision,fecha_vencimiento,estado,fecha_pago_real
FAC-2025-000022,EST-0022,Residencia Nova,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000023,EST-0023,Residencia Elite,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000024,EST-0024,Residencia Royal,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000025,EST-0025,Residencia Zenith,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000026,EST-0026,Residencia Standard 6,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000027,EST-0027,Residencia Standard 7,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000028,EST-0028,Residencia Standard 8,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000029,EST-0029,Residencia Standard 9,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000030,EST-0030,Residencia Standard 10,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000031,EST-0031,Residencia Standard 11,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000032,EST-0032,Residencia Standard 12,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000033,EST-0033,Residencia Standard 13,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000034,EST-0034,Residencia Standard 14,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000035,EST-0035,Residencia Standard 15,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-16
FAC-2025-000036,EST-0036,Residencia LowCost 16,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000037,EST-0037,Residencia LowCost 17,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000038,EST-0038,Residencia LowCost 18,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000039,EST-0039,Residencia LowCost 19,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000040,EST-0040,Residencia LowCost 20,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000041,EST-0041,Residencia Sol,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000042,EST-0042,Residencia Nova,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000043,EST-0043,Residencia Elite,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000044,EST-0044,Residencia Royal,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-02-07
FAC-2025-000045,EST-0045,Residencia Zenith,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000046,EST-0046,Residencia Standard 6,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000047,EST-0047,Residencia Standard 7,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000048,EST-0048,Residencia Standard 8,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000049,EST-0049,Residencia Standard 9,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000050,EST-0050,Residencia Standard 10,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000051,EST-0051,Residencia Standard 11,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000052,EST-0052,Residencia Standard 12,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000053,EST-0053,Residencia Standard 13,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000054,EST-0054,Residencia Standard 14,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000055,EST-0055,Residencia Standard 15,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000056,EST-0056,Residencia LowCost 16,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000057,EST-0057,Residencia LowCost 17,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000058,EST-0058,Residencia LowCost 18,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000059,EST-0059,Residencia LowCost 19,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000060,EST-0060,Residencia LowCost 20,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000061,EST-0061,Residencia Sol,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000062,EST-0062,Residencia Nova,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000063,EST-0063,Residencia Elite,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000064,EST-0064,Residencia Royal,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000065,EST-0065,Residencia Zenith,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000066,EST-0066,Residencia Standard 6,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000067,EST-0067,Residencia Standard 7,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000068,EST-0068,Residencia Standard 8,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000069,EST-0069,Residencia Standard 9,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000070,EST-0070,Residencia Standard 10,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000071,EST-0071,Residencia Standard 11,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000072,EST-0072,Residencia Standard 12,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000073,EST-0073,Residencia Standard 13,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000074,EST-0074,Residencia Standard 14,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000075,EST-0075,Residencia Standard 15,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000076,EST-0076,Residencia LowCost 16,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000077,EST-0077,Residencia LowCost 17,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000078,EST-0078,Residencia LowCost 18,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000079,EST-0079,Residencia LowCost 19,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000080,EST-0080,Residencia LowCost 20,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000081,EST-0081,Residencia Sol,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000082,EST-0082,Residencia Nova,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000083,EST-0083,Residencia Elite,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-25
FAC-2025-000084,EST-0084,Residencia Royal,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000085,EST-0085,Residencia Zenith,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000086,EST-0086,Residencia Standard 6,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000087,EST-0087,Residencia Standard 7,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000088,EST-0088,Residencia Standard 8,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000089,EST-0089,Residencia Standard 9,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000090,EST-0090,Residencia Standard 10,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000091,EST-0091,Residencia Standard 11,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000092,EST-0092,Residencia Standard 12,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000093,EST-0093,Residencia Standard 13,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000094,EST-0094,Residencia Standard 14,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000095,EST-0095,Residencia Standard 15,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000096,EST-0096,Residencia LowCost 16,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000097,EST-0097,Residencia LowCost 17,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000098,EST-0098,Residencia LowCost 18,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000099,EST-0099,Residencia LowCost 19,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000100,EST-0100,Residencia LowCost 20,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000101,EST-0101,Residencia Sol,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000102,EST-0102,Residencia Nova,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000103,EST-0103,Residencia Elite,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000104,EST-0104,Residencia Royal,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000105,EST-0105,Residencia Zenith,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000106,EST-0106,Residencia Standard 6,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000107,EST-0107,Residencia Standard 7,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000108,EST-0108,Residencia Standard 8,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000109,EST-0109,Residencia Standard 9,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000110,EST-0110,Residencia Standard 10,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-23
FAC-2025-000111,EST-0111,Residencia Standard 11,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000112,EST-0112,Residencia Standard 12,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000113,EST-0113,Residencia Standard 13,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000114,EST-0114,Residencia Standard 14,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000115,EST-0115,Residencia Standard 15,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000116,EST-0116,Residencia LowCost 16,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000117,EST-0117,Residencia LowCost 17,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000118,EST-0118,Residencia LowCost 18,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000119,EST-0119,Residencia LowCost 19,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000120,EST-0120,Residencia LowCost 20,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000121,EST-0121,Residencia Sol,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000122,EST-0122,Residencia Nova,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000123,EST-0123,Residencia Elite,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000124,EST-0124,Residencia Royal,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000125,EST-0125,Residencia Zenith,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000126,EST-0126,Residencia Standard 6,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000127,EST-0127,Residencia Standard 7,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000128,EST-0128,Residencia Standard 8,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000129,EST-0129,Residencia Standard 9,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000130,EST-0130,Residencia Standard 10,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000131,EST-0131,Residencia Standard 11,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000132,EST-0132,Residencia Standard 12,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000133,EST-0133,Residencia Standard 13,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000134,EST-0134,Residencia Standard 14,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000135,EST-0135,Residencia Standard 15,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000136,EST-0136,Residencia LowCost 16,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000137,EST-0137,Residencia LowCost 17,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000138,EST-0138,Residencia LowCost 18,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000139,EST-0139,Residencia LowCost 19,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000140,EST-0140,Residencia LowCost 20,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000141,EST-0141,Residencia Sol,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000142,EST-0142,Residencia Nova,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000143,EST-0143,Residencia Elite,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000144,EST-0144,Residencia Royal,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000145,EST-0145,Residencia Zenith,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000146,EST-0146,Residencia Standard 6,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000147,EST-0147,Residencia Standard 7,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000148,EST-0148,Residencia Standard 8,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000149,EST-0149,Residencia Standard 9,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000150,EST-0150,Residencia Standard 10,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000151,EST-0151,Residencia Standard 11,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000152,EST-0152,Residencia Standard 12,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000153,EST-0153,Residencia Standard 13,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000154,EST-0154,Residencia Standard 14,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-22
FAC-2025-000155,EST-0155,Residencia Standard 15,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000156,EST-0156,Residencia LowCost 16,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000157,EST-0157,Residencia LowCost 17,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000158,EST-0158,Residencia LowCost 18,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000159,EST-0159,Residencia LowCost 19,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000160,EST-0160,Residencia LowCost 20,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000161,EST-0161,Residencia Sol,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000162,EST-0162,Residencia Nova,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000163,EST-0163,Residencia Elite,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000164,EST-0164,Residencia Royal,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000165,EST-0165,Residencia Zenith,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000166,EST-0166,Residencia Standard 6,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000167,EST-0167,Residencia Standard 7,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000168,EST-0168,Residencia Standard 8,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000169,EST-0169,Residencia Standard 9,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000170,EST-0170,Residencia Standard 10,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000171,EST-0171,Residencia Standard 11,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000172,EST-0172,Residencia Standard 12,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000173,EST-0173,Residencia Standard 13,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000174,EST-0174,Residencia Standard 14,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000175,EST-0175,Residencia Standard 15,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000176,EST-0176,Residencia LowCost 16,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000177,EST-0177,Residencia LowCost 17,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000178,EST-0178,Residencia LowCost 18,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000179,EST-0179,Residencia LowCost 19,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000180,EST-0180,Residencia LowCost 20,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000181,EST-0181,Residencia Sol,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000182,EST-0182,Residencia Nova,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000183,EST-0183,Residencia Elite,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000184,EST-0184,Residencia Royal,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000185,EST-0185,Residencia Zenith,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000186,EST-0186,Residencia Standard 6,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000187,EST-0187,Residencia Standard 7,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000188,EST-0188,Residencia Standard 8,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000189,EST-0189,Residencia Standard 9,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000190,EST-0190,Residencia Standard 10,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000191,EST-0191,Residencia Standard 11,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000192,EST-0192,Residencia Standard 12,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000193,EST-0193,Residencia Standard 13,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000194,EST-0194,Residencia Standard 14,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-18
FAC-2025-000195,EST-0195,Residencia Standard 15,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000196,EST-0196,Residencia LowCost 16,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000197,EST-0197,Residencia LowCost 17,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000198,EST-0198,Residencia LowCost 18,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-23
FAC-2025-000199,EST-0199,Residencia LowCost 19,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000200,EST-0200,Residencia LowCost 20,Alquiler January 2025,600.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000201,EST-0201,Residencia Sol,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000202,EST-0202,Residencia Nova,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000203,EST-0203,Residencia Elite,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-04
FAC-2025-000204,EST-0204,Residencia Royal,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000205,EST-0205,Residencia Zenith,Alquiler January 2025,1200.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000206,EST-0206,Residencia Standard 6,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000207,EST-0207,Residencia Standard 7,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000208,EST-0208,Residencia Standard 8,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000209,EST-0209,Residencia Standard 9,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-01
FAC-2025-000210,EST-0210,Residencia Standard 10,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
FAC-2025-000211,EST-0211,Residencia Standard 11,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-05
FAC-2025-000212,EST-0212,Residencia Standard 12,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-03
FAC-2025-000213,EST-0213,Residencia Standard 13,Alquiler January 2025,850.0,2025-01-01,2025-01-06,pagada,2025-01-02
